step,epoch,split,loss,RPA,RCA,MAE_cents,learning_rate,wall_time_sec
100,1,train,0.026112,0.6251,0.6370,200.09,5.05e-06,5.1
200,1,train,0.025626,0.6245,0.6370,196.12,1.01e-05,9.4
300,1,train,0.024122,0.6331,0.6453,185.67,1.51e-05,13.7
400,1,train,0.024374,0.6113,0.6238,187.16,2.01e-05,18.0
500,1,train,0.022984,0.6144,0.6266,205.31,2.51e-05,22.3
600,1,train,0.023005,0.5781,0.5900,190.46,3.01e-05,26.6
700,1,train,0.022184,0.5570,0.5660,198.57,3.51e-05,30.9
800,1,train,0.020937,0.5451,0.5543,193.39,4.01e-05,35.2
900,1,train,0.020517,0.5432,0.5537,195.46,4.50e-05,39.5
1000,1,train,0.020011,0.5250,0.5326,192.38,5.00e-05,43.8
1100,1,train,0.018987,0.5316,0.5399,193.67,5.00e-05,48.0
1200,1,train,0.018694,0.5237,0.5301,174.71,5.00e-05,52.3
1300,1,train,0.018817,0.5276,0.5333,175.34,5.00e-05,56.6
1400,1,train,0.019056,0.5140,0.5208,182.72,5.00e-05,60.8
1500,1,train,0.019109,0.4842,0.4926,173.53,5.00e-05,65.1
1600,1,train,0.018623,0.5081,0.5144,173.33,5.00e-05,69.4
1700,1,train,0.017969,0.5029,0.5084,171.04,5.00e-05,73.6
1800,1,train,0.018511,0.5108,0.5179,163.53,5.00e-05,77.9
1900,1,train,0.017987,0.5164,0.5209,160.65,5.00e-05,82.2
2000,1,train,0.018384,0.5124,0.5172,161.49,5.00e-05,86.5
2100,1,train,0.017657,0.5219,0.5267,147.29,5.00e-05,90.8
2200,1,train,0.017986,0.5274,0.5319,164.13,5.00e-05,95.0
2300,1,train,0.017662,0.5357,0.5392,149.22,5.00e-05,99.3
2400,1,train,0.017690,0.5346,0.5404,152.50,5.00e-05,103.6
2500,1,train,0.017366,0.5537,0.5579,147.28,5.00e-05,107.9
2600,1,train,0.017923,0.5408,0.5452,150.12,5.00e-05,112.2
2700,1,train,0.017797,0.5513,0.5567,148.83,5.00e-05,116.4
2800,1,train,0.017938,0.5205,0.5247,151.06,5.00e-05,120.7
2900,1,train,0.017461,0.5448,0.5508,151.81,5.00e-05,125.0
